 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2018
   20 BATALHA        22    21   10  20.14   EX      1     1931     2018
   21 SERRA FACAO   251    24   10  17.50   EX      0     1931     2018
   27 CAPIM BRANC1  207    28   10  82.67   EX      1     1931     2018
   28 CAPIM BRANC2   28    31   10   0.00   EX      1     1931     2018
   29 CORUMBA IV    205   203   10  23.01   EX      0     1931     2018
   48 PIRAJU         48    49   12   0.00   EX      1     1931     2018
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2018
  131 NILO PECANHA  131   133    1   0.00   EX      0     1931     2018
  132 FONTES        303   133    1   0.00   EX      1     1931     2018
  141 BAGUARI       141   143    1   0.00   EX      0     1931     2018
  153 SAO DOMINGOS  154    46   10   0.00   EX      0     1931     2018
  155 RETIRO BAIXO  155   156    1  52.40   EX      1     1931     2018
  156 TRES MARIAS   156     0    1  57.02   EX      1     1931     2018
  162 QUEIMADO      158     0    1  27.75   EX      1     1931     2018
  195 JAURU         295     0    1   0.00   EX      0     1931     2018
  196 GUAPORE       296   285    6   0.00   EX      0     1931     2018
  203 CORUMBA III    23    30   10  22.54   EX      0     1931     2018
  227 SINOP         227   228    7  49.95   EX      1     1931     2018
  228 COLIDER       228   229    7   0.00   EX      1     1931     2018
  229 TELES PIRES   229   230    7   0.00   EX      1     1931     2018
  230 SAO MANOEL    230     0    7   0.00   EX      0     1931     2018
  241 SLT VERDINHO  241    34   10   0.00   EX      0     1931     2018
  249 OURINHOS      249    50   12   0.00   EX      0     1931     2018
  251 SERRA MESA    270   252    1   9.41   EX      1     1931     2018
  252 CANA BRAVA    191   253    1   0.00   EX      1     1931     2018
  253 SAO SALVADOR  253   257    1   0.00   EX      1     1931     2018
  257 PEIXE ANGIC   257   261    1  18.25   EX      1     1931     2018
  261 LAJEADO       273     0    1   0.00   EX      1     1931     2018
  262 SALTO         294   241   10   0.00   EX      1     1931     2018
  276 RONDON II     145     0    6  30.10   EX      0     1931     2018
  281 PONTE PEDRA   281     0    1   0.00   EX      1     1931     2018
  285 JIRAU         285   287    6   0.00   EX      1     1931     2018
  287 STO ANTONIO   287     0    6   0.00   EX      1     1931     2018
  290 ESPORA         99    34   10  25.00   EX      0     1931     2018
  304 ITIQUIRA I    259   305    1   0.00   EX      0     1931     2018
  305 ITIQUIRA II   252     0    1   0.00   EX      1     1931     2018
  310 DARDANELOS    291     0    6   0.00   EX      0     1931     2018
  311 CACU          247   312   10  70.00   EX      0     1931     2018
  312 B. COQUEIROS  248   315   10   0.00   EX      0     1931     2018
  315 FOZ R. CLARO  261    34   10   0.00   EX      0     1931     2018
  318 FICT.STA BRA   54   319   12   0.00   NE      0     1931     2018
  319 FICT.MAUA      57    61   12  51.90   EX      1     1931     2018
  117 GUARAPIRANGA  117   118    1  70.44   EX      1     1931     2018
  118 BILLINGS      319   119    1  72.04   EX      1     1931     2018
  119 HENRY BORDEN  318     0    1   0.00   EX      1     1931     2018
  120 JAGUARI       120   123    1  49.09   EX      1     1931     2018
  121 PARAIBUNA     121   122    1  31.31   EX      1     1931     2018
  122 SANTA BRANCA  122   123    1  43.35   EX      1     1931     2018
  123 FUNIL         123   131    1  41.46   EX      1     1931     2018
  124 LAJES         132   132    1  83.78   EX      1     1931     2018
  126 PICADA        197   127    1   0.00   EX      1     1931     2018
  127 SOBRAGI       198   129    1   0.00   EX      0     1931     2018
  129 SIMPLICIO     126   130    1   0.00   EX      0     1931     2018
  130 ILHA POMBOS   299     0    1   0.00   EX      0     1931     2018
  133 P. PASSOS     306     0    1   0.00   EX      1     1931     2018
  134 SALTO GRANDE  134   135    1   0.00   EX      1     1931     2018
  135 P. ESTRELA    263   141    1  37.62   EX      1     1931     2018
  139 CANDONGA      149   141    1   0.00   EX      1     1931     2018
  143 AIMORES       148   144    1   0.00   EX      0     1931     2018
  144 MASCARENHAS   144     0    1   0.00   EX      1     1931     2018
  192 GUILMAN-AMOR  262   193    1   0.00   EX      1     1931     2018
  193 SA CARVALHO   183   141    1   0.00   EX      0     1931     2018
  217 ROSAL         196     0    1   0.00   EX      0     1931     2018
  279 SAMUEL        279     0    6  18.93   EX      0     1931     2018
  148 IRAPE         255     0    1  22.95   EX      1     1931     2018
  283 STA CLARA MG  283     0    1   0.00   EX      1     1931     2018
    1 CAMARGOS        1     2   10  25.29   EX      1     1931     2018
    2 ITUTINGA        2     4   10   0.00   EX      1     1931     2018
    6 FURNAS          6     7   10  13.25   EX      1     1931     2018
    7 M. DE MORAES    7     8   10  36.24   EX      1     1931     2018
    8 ESTREITO        8     9   10   0.00   EX      1     1931     2018
    9 JAGUARA         9    10   10   0.00   EX      1     1931     2018
   10 IGARAPAVA      10    11   10   0.00   EX      1     1931     2018
   11 VOLTA GRANDE   11    12   10   0.00   EX      1     1931     2018
   12 P. COLOMBIA    12    17   10   0.00   EX      1     1931     2018
   14 CACONDE        14    15   10  38.00   EX      1     1931     2018
   15 E. DA CUNHA    15    16   10   0.00   EX      0     1931     2018
   16 A.S.OLIVEIRA   16    17   10   0.00   EX      1     1931     2018
   17 MARIMBONDO     17    18   10  23.12   EX      1     1931     2018
   18 A. VERMELHA    18    34   10  23.70   EX      1     1931     2018
   34 I. SOLTEIRA    34    45   10  68.14   EX      1     1931     2018
   24 EMBORCACAO     24    31   10  12.80   EX      1     1931     2018
   25 NOVA PONTE     25    26   10  16.77   EX      1     1931     2018
   26 MIRANDA       206    27   10  96.31   EX      1     1931     2018
   30 CORUMBA I     209    31   10  30.52   EX      1     1931     2018
   31 ITUMBIARA      31    32   10  16.31   EX      1     1931     2018
   32 CACH.DOURADA   32    33   10   0.00   EX      1     1931     2018
   33 SAO SIMAO      33    34   10  33.41   EX      1     1931     2018
   37 BARRA BONITA   37    38   10  53.70   EX      1     1931     2018
   38 A.S. LIMA      38    39   10   0.00   EX      0     1931     2018
   39 IBITINGA       39    40   10   0.00   EX      0     1931     2018
   40 PROMISSAO      40    42   10  42.90   EX      1     1931     2018
   42 NAVANHANDAVA   42    43   10   0.00   EX      0     1931     2018
   43 TRES IRMAOS    43    45   10  65.85   EX      1     1931     2018
   45 JUPIA          45    46   10   0.00   EX      1     1931     2018
   46 P. PRIMAVERA   46    66   10   0.00   EX      1     1931     2018
  278 MANSO         278     0    1  52.57   EX      1     1931     2018
   47 A.A. LAYDNER   47    48   12  28.79   EX      1     1931     2018
   49 CHAVANTES      49   249   12  22.38   EX      1     1931     2018
   50 L.N. GARCEZ    50    51   12   0.00   EX      1     1931     2018
   51 CANOAS II      51    52   12   0.00   EX      1     1931     2018
   52 CANOAS I       52    61   12   0.00   EX      1     1931     2018
   61 CAPIVARA       61    62   12  35.48   EX      1     1931     2018
   62 TAQUARUCU      62    63   12   0.00   EX      1     1931     2018
   63 ROSANA         63    66   12   0.00   EX      1     1931     2018
   54 STA BRANCA T   54    57   11   0.00   NE      0     1931     2018
   57 MAUA           57     0   11  51.90   EX      1     1931     2018
   71 STA CLARA PR   71    72   11  51.30   EX      0     1931     2018
   72 FUNDAO         72    73   11   0.00   EX      0     1931     2018
   74 G.B. MUNHOZ    74    76   11  20.80   EX      0     1931     2018
   83 BAIXO IGUACU   81     0   11   0.00   EX      1     1931     2018
   86 BARRA GRANDE  215    91    2  19.27   EX      1     1931     2018
   89 GARIBALDI      89    90    2  53.26   EX      1     1931     2018
   90 CAMPOS NOVOS  216    91    2  50.89   EX      0     1931     2018
   91 MACHADINHO    217    92    2  17.78   EX      1     1931     2018
   92 ITA            92   103    2   0.00   EX      1     1931     2018
   93 PASSO FUNDO    93    94    2  29.65   EX      0     1931     2018
   94 MONJOLINHO    220   103    2   0.00   EX      0     1931     2018
   95 QUEBRA QUEIX  286     0    2  65.74   EX      1     1931     2018
  101 SAO JOSE      102   102    2   0.00   EX      1     1931     2018
  102 PASSO S JOAO  103     0    2   0.00   EX      1     1931     2018
  103 FOZ CHAPECO    94     0    2   0.00   EX      0     1931     2018
   97 CASTRO ALVES   98    98    2   0.00   EX      0     1931     2018
   98 MONTE CLARO    97    99    2   0.00   EX      0     1931     2018
   99 14 DE JULHO   284     0    2   0.00   EX      0     1931     2018
  110 ERNESTINA     110   111    2  99.60   EX      0     1931     2018
  111 PASSO REAL    111   112    2  74.53   EX      1     1931     2018
  112 JACUI         112   113    2   0.00   EX      0     1931     2018
  113 ITAUBA        113   114    2   0.00   EX      0     1931     2018
  114 D. FRANCISCA  114     0    2   0.00   EX      1     1931     2018
  115 G.P. SOUZA    115     0    2  23.80   EX      1     1931     2018
  215 SALTO PILAO   101     0    2   0.00   EX      0     1931     2018
   73 JORDAO         70    77   11 100.00   EX      1     1931     2018
   76 SEGREDO        75    77   11  35.40   EX      0     1931     2018
   77 SLT.SANTIAGO   77    78   11  18.96   EX      1     1931     2018
   78 SALTO OSORIO   78    82   11   0.00   EX      1     1931     2018
   82 SALTO CAXIAS  222    83   11   0.00   EX      1     1931     2018
  169 SOBRADINHO    169   172    3  28.81   EX      1     1931     2018
  172 ITAPARICA     172   176    3  37.45   EX      1     1931     2018
  176 COMP PAF-MOX  176   178    3   0.00   EX      1     1931     2018
  178 XINGO         178     0    3   0.00   EX      1     1931     2018
  294 FICT.QUEIMAD  158   169    3  27.75   EX      1     1931     2018
  295 FICT.TRES MA  156   169    3  57.02   EX      1     1931     2018
  308 FICT.RETIRO   155   295    3  52.40   EX      1     1931     2018
  154 ITAPEBI       188     0    3   0.00   EX      1     1931     2018
  298 FICT.IRAPE    255   154    3  22.95   EX      1     1931     2018
  189 P. CAVALO     254     0    3  78.08   EX      1     1931     2018
  190 B. ESPERANCA  190     0    3  18.37   EX      1     1931     2018
  204 CACH.CALDEIR  204   280    9   0.00   EX      1     1931     2018
  267 ESTREITO TOC  271   275    4   0.00   EX      1     1931     2018
  275 TUCURUI       275     0    4  17.26   EX      1     1931     2018
  277 BALBINA       269     0    9  24.58   EX      1     1931     2018
  280 COARACY NUNE  280   284    9   0.00   EX      0     1931     2018
  284 FERREIRA GOM  297     0    9   0.00   EX      1     1931     2018
  286 STO ANT JARI  290     0    9   0.00   EX      1     1931     2018
  291 FICT.SERRA M  270   292    4  17.11   EX      1     1931     2018
  292 FICT.CANA BR  191   306    4   0.00   EX      1     1931     2018
  302 FICT.LAJEADO  273   267    4   0.00   EX      1     1931     2018
  303 FICT.PEIXE A  257   302    4  18.25   EX      1     1931     2018
  306 FICT.SAO SAL  253   303    4   0.00   EX      1     1931     2018
  314 PIMENTAL      302     0    8   0.00   EX      0     1931     2018
  272 CURUA-UNA     277     0    8  22.27   EX      1     1931     2018
  288 BELO MONTE    292     0    8   0.00   EX      1     1931     2018
